# 程度副词词典
# 来源：自建(19词) + 金融语境补充(22词)
# 格式：词  系数（>1 增强，<1 减弱）
# ── 极端级 (×2.5) ──
极其  2.5
极度  2.5
# ── 强力级 (×2.0) ──
非常  2.0
大幅  2.0
显著  2.0
尤为  2.0
强烈  2.0
急剧  2.0
迅猛  2.0
骤然  2.0
猛然  2.0
严重  2.0
罕见  2.0
# ── 显著级 (×1.8) ──
明显  1.8
特别  1.8
大大  1.8
相当  1.8
十分  1.8
过于  1.8
过分  1.8
深度  1.8
# ── 中级 (×1.5) ──
很    1.5
不断  1.5
进一步  1.5
快速  1.5
加速  1.5
全面  1.5
充分  1.5
# ── 轻度级 (×1.3) ──
较    1.3
持续  1.3
较大  1.3
稳步  1.3
逐步  1.3
# ── 减弱级 (×0.5) ──
略微  0.5
稍微  0.5
有点  0.5
略    0.5
稍    0.5
轻度  0.5
微    0.5
不大  0.5
有所  0.5
