# 金融新闻负面情感词典
# 来源：自建(64词) + CFSD姜富伟等(2020) + 姚加权等(2021)
# 格式：词  权重(1-5)
一事无成  2
一厢情愿  2
一味  2
一哄而散  2
一怒之下  2
一意孤行  2
一成不变  2
一拖再拖  2
一损俱损  2
一文不值  2
一无所得  2
一毛不拔  2
一气之下  2
一波三折  2
一潭死水  2
一直跌  2
一穷二白  2
一窍不通  2
一窝蜂  2
一筹莫展  2
一落千丈  2
一言堂  2
一语成谶  2
一败涂地  2
一蹶不振  2
七零八落  2
万万不能  2
万念俱灰  2
三人成虎  2
三八  2
三心二意  2
三流  2
上台  2
上吊  2
上当  2
上瘾  2
上诉  2
上钩  2
下不了台  2
下台  2
下场  2
下坡  2
下坡的  2
下岗  2
下挫  2
下架  2
下滑  2
下滑的  2
下狱  2
下等  2
下等的  2
下落  2
下行  2
下调  2
下跌  2
下降  2
下降的  2
不一致  2
不严密  2
不义  2
不乐观  2
不买账  2
不了  2
不了了之  2
不予  2
不予置评  2
不争气  2
不仁  2
不付欠款  2
不令人满意的  2
不以  2
不以为然  2
不休  2
不伦不类  2
不住  2
不体面  2
不作为  2
不佳  2
不依  2
不便  2
不便的  2
不信  2
不值  2
不值钱  2
不值钱的  2
不健全  2
不健全的  2
不健康  2
不像  2
不像话  2
不充分  2
不充分的  2
不充足的  2
不光彩  2
不全  2
不公  2
不公平  2
不公平地  2
不公平待遇  2
不公平的  2
不公开的  2
不公正  2
不公正地  2
不公正的  2
不兴  2
不再  2
不准  2
不准确  2
不准确地  2
不准许  2
不切实际  2
不切实际的  2
不划算  2
不利  2
不利于  2
不利于经济发展的因素  2
不利地  2
不利条件  2
不利的  2
不力  2
不加  2
不务正业  2
不劳  2
不劳而获  2
不匹配  2
不协调  2
不占优势  2
不参加  2
不及格  2
不友好  2
不友好的  2
不发达  2
不受  2
不受欢迎  2
不受欢迎的  2
不可  2
不可一世  2
不可信的  2
不可否认  2
不可告人  2
不可思议  2
不可思议的  2
不可恢复的  2
不可收拾  2
不可理喻  2
不可能的  2
不可讳言  2
不可调和  2
不可逆转  2
不可避免  2
不可避免地  2
不可避免的  2
不可靠  2
不可靠地  2
不可靠的  2
不可预知的  2
不合  2
不合宜  2
不合时宜  2
不合标准  2
不合格  2
不合格品  2
不合格的  2
不合法地  2
不合法的  2
不合理  2
不合理的  2
不合规定  2
不合规格的  2
不合适  2
不合适的  2
不合逻辑  2
不同意  2
不同意的  2
不听话  2
不周  2
不周到  2
不周到的  2
不和  2
不善  2
不喜欢  2
不在乎  2
不在意  2
不均  2
不均衡  2
不堪  2
不堪一击  2
不堪设想  2
不堪重负  2
不够  2
不大  2
不好  2
不好意思  2
不好的预兆  2
不好过  2
不如  2
不如人意  2
不如意  2
不如预期  2
不妙  2
不妥  2
不学无术  2
不宁  2
不守  2
不安  2
不安全  2
不安全的  2
不安宁  2
不安定  2
不安的  2
不安的状态  2
不安稳  2
不完全  2
不完全的  2
不完备的  2
不完美的  2
不定  2
不定的  2
不宜  2
不宜的  2
不实  2
不实在的  2
不容  2
不容乐观  2
不寒而栗  2
不对劲  2
不对头  2
不寻常的  2
不尊重  2
不尽人意  2
不尽合理  2
不屑  2
不屑一顾  2
不屑于  2
不履行  2
不履行义务  2
不平  2
不平坦  2
不平常的  2
不平衡  2
不幸  2
不幸事件  2
不幸的  2
不强  2
不当  2
不当行为  2
不彰  2
不得人心  2
不得已  2
不得要领  2
不必要  2
不必要地  2
不必要的  2
不忠  2
不忠诚的  2
不快  2
不忿  2
不怀  2
不怀好意  2
不思进取  2
不恰当  2
不恰当地  2
不恰当的  2
不悦  2
不情愿  2
不情愿的  2
不惧  2
不愉快的  2
不愿  2
不愿意  2
不愿意的  2
不慎  2
