# 金融新闻正面情感词典
# 来源：自建(65词) + CFSD姜富伟等(2020) + 姚加权等(2021)
# 格式：词  权重(1-5)
3A级  2
50强  2
AAA企业  2
AAA级  2
一专多能  2
一丝不苟  2
一举  2
一吐为快  2
一呼百应  2
一如既往  2
一帆风顺  2
一席之地  2
一往情深  2
一往无前  2
一心  2
一心一意  2
一日千里  2
一枝独秀  2
一气呵成  2
一流  2
一目了然  2
一等  2
一线  2
一统天下  2
一统江山  2
一致  2
一视同仁  2
一路升  2
一门心思  2
一飞冲天  2
一马当先  2
一鸣惊人  2
万众一心  2
万众瞩目  2
万全  2
万岁  2
万无一失  2
万能  2
万能的  2
万马奔腾  2
三好  2
三甲  2
三连冠  2
上乘  2
上位  2
上佳  2
上升  2
上品  2
上好  2
上扬  2
上榜  2
上流  2
上涨  2
上游  2
上等  2
上策  2
上行  2
上调  2
上进  2
不乏  2
不亦乐乎  2
不俗  2
不凡  2
不可多得  2
不可思议的  2
不可或缺  2
不同凡响  2
不同寻常  2
不吝  2
不含糊  2
不容小觑  2
不容置疑  2
不屈  2
不屈不挠  2
不平凡  2
不怕  2
不怠  2
不愧  2
不懈  2
不拘一格  2
不拘泥  2
不朽  2
不泄气  2
不涨都难  2
不畏艰辛  2
不畏艰险  2
不缺钱  2
不虚此行  2
不负众望  2
不败之地  2
不遗余力  2
不错  2
不骄不躁  2
与人为善  2
与众不同的  2
与时俱进  2
专一  2
专一的  2
专业人士  2
专业化  2
专家  2
专属  2
专心  2
专心致志  2
专攻  2
专注  2
专长  2
世界级  2
世界纪录  2
业务精  2
业绩  2
业绩预增  3
东风  2
两全  2
严守  2
严密  2
严师  2
严整  2
严明  2
严格  2
严正  2
严谨  2
个性化  2
中坚  2
中心地位  2
中意  2
中意的  2
中标  2
中流砥柱  2
中用  2
中肯  2
中选  2
丰利  2
丰功伟绩  2
丰厚  2
丰实  2
丰富  2
丰富多彩  2
丰富的  2
丰年  2
丰收  2
丰沃  2
丰沛  2
丰润  2
丰满  2
丰登  2
丰盈  2
丰盛  2
丰硕  2
丰碑  2
丰稔  2
丰美  2
丰裕  2
丰饶  2
丰饶的  2
临危不惧  2
为人正直  2
为傲  2
为荣  2
主人翁  2
主力军  2
主动  2
主动性  2
主动权  2
主导  2
主将  2
主心骨  2
主旋律  2
主流  2
举一反三  2
举世瞩目  2
举世闻名  2
举手称赞  2
举荐  2
举足轻重  2
久经考验  2
义不容辞  2
义举  2
义勇  2
义卖  2
义无反顾  2
义演  2
义诊  2
乐业  2
乐事  2
乐于  2
乐呵呵  2
乐善好施  2
乐园  2
乐土  2
乐在其中  2
乐天  2
乐悠悠  2
乐意  2
乐此不疲  2
乐滋滋  2
乐章  2
乐观  2
乐观主义的  2
乐观的  2
乐趣  2
乐颠颠  2
乘势  2
乘胜  2
乘风破浪  2
了不起  2
了不起的  2
争先  2
争光  2
争分夺秒  2
争气  2
争雄  2
事关重大  2
事半功倍  2
事迹  2
互信  2
互利  2
互助  2
互助合作  2
互惠  2
互惠互利  2
互敬  2
互爱  2
互相学习  2
互相支持  2
互补  2
互通  2
五彩缤纷  2
五星级  2
五谷丰登  2
五连冠  2
井井有条  2
井喷  3
井然有序  2
交口称誉  2
交口称赞  2
交情  2
产能扩张  2
产能释放  2
产销两旺  2
亨通  2
享受  2
享有  2
享有声望的  2
享用  2
享福  2
享誉  2
亮丽  2
亮点  2
亮眼  2
亲临  2
亲人  2
亲切  2
亲切地  2
亲切的  2
亲和  2
亲和力  2
亲善  2
亲密  2
亲民  2
亲热  2
亲睐  2
亲近  2
人尽其才  2
人心所向  2
人情  2
人情味  2
人才  2
人才济济  2
人才荟萃  2
人才辈出  2
人权  2
人杰  2
人格  2
人缘  2
人道  2
仁义  2
仁德  2
仁惠  2
仁慈  2
仁慈的  2
仁政  2
仁爱  2
从优  2
从善如流  2
从容  2
从容不迫  2
从容地  2
仔细  2
仙境  2
令人信服  2
令人信服地  2
令人愉快的  2
令人振奋  2
令人欣慰  2
令人满意  2
令人满意地  2
令人满意的  2
令人满足  2
令人满足的  2
令人激动  2
令人瞩目  2
令人钦佩  2
令人钦佩的  2
令人难忘  2
令人高兴  2
令人高兴的事  2
令人鼓舞  2
令人鼓舞的  2
以身作则  2
仰慕  2
仰望  2
价值连城  2
价格优势  2
任人唯贤  2
任劳任怨  2
企盼  2
企稳  2
众志成城  2
众所周知  2
众望  2
众望所归  2
优于  2
优先  2
优势  2
优化  2
优厚  2
优异  2
优待  2
优惠  2
优抚  2
优点  2
优秀  2
优秀企业  2
优秀的  2
优等  2
优美  2
优胜  2
优胜劣汰  2
优胜者  2
优良  2
优良传统  2
优良的  2
优裕  2
优质  2
优越  2
优选  2
优雅  2
会师  2
会心  2
会心一笑  2
会涨  2
伟业  2
伟人  2
伟力  2
伟大  2
伟大成就  2
伟大的  2
伟绩  2
伟观  2
传世  2
传奇  2
传奇色彩  2
传扬  2
传授  2
传经  2
传统美德  2
传颂  2
伯乐  2
伴随  2
伶俐  2
伸张正义  2
低买  2
低库存  2
低成本  2
低损耗  2
低调  2
低负债  2
体察  2
体系化  2
体谅  2
体贴  2
体贴入微  2
体面  2
余裕  2
佩服  2
佳人  2
佳作  2
佳品  2
佳境  2
佳期  2
佳绩  2
佳节  2
佳话  2
佳酿  2
佼佼者  2
使命  2
使用方便  2
侃侃  2
侃侃而谈  2
供不应求  2
供需平衡  2
依依不舍  2
便于  2
便利  2
便宜  2
便捷  2
便民  2
促使  2
促成  2
促膝  2
促请  2
促进  2
俊伟  2
俊杰  2
俊秀  2
俊美  2
俊逸  2
俊雅  2
保值  2
保卫  2
保密  2
保护  2
保持稳定  2
保荐  2
保证  2
保质  2
保送  2
保障  2
信义  2
信仰  2
信任  2
信奉  2
信守  2
信实  2
信得过  2
信心  2
信心满满  2
信心满满的  2
信服  2
信用  2
信誉  2
信赖  2
俭朴  2
修养  2
修好  2
修身  2
俱佳  2
倍增  2
倔强  2
倚重  2
倜傥  2
倡导  2
倡议  2
值得  2
值得信赖  2
值得尊敬  2
值得尊重  2
值得的  2
值得称赞  2
值得称赞的  2
值得纪念  2
倾心  2
倾慕  2
倾注  2
偏爱  2
做主  2
做优  2
做多  2
做大  2
做强  2
做得好  2
做精  2
做精做细  2
健儿  2
健全  2
健壮  2
健实  2
健将  2
健康  2
健康美  2
健捷  2
健朗  2
健步  2
健硕  2
健美  2
偶像  2
偿清  2
催人奋进  2
催化剂  2
傲人  2
傲视  2
像样  2
儒商  2
儒雅  2
允当  2
允许  2
允许的  2
允诺  2
元勋  2
充份  2
充分  2
充实  2
充沛  2
充盈  2
充裕  2
充裕的  2
充足  2
先人后己  2
先发优势  2
先导  2
先导性  2
先抑后扬  2
先机  2
先河  2
先知  2
先知先觉  2
先行  2
先行一步的  2
先行者  2
先见之明  2
先贤  2
先进  2
先进典型  2
先锋  2
先驱  2
先驱者  2
光亮  2
光彩  2
光明  2
光明正大  2
光明磊落  2
光泽  2
光滑  2
光耀  2
光芒  2
光芒四射  2
光荣  2
光荣的  2
光辉  2
光辉灿烂  2
光顾  2
光鲜  2
克己奉公  2
克服  2
克服困难  2
免于  2
兢兢业业  2
入围  2
入微  2
入神  2
入迷  2
入选  2
全力  2
全力以赴  2
全心全意  2
全才  2
全新  2
全盛  2
全神贯注  2
全胜  2
全能  2
全面  2
全面完成  2
全面实现  2
全面提高  2
公平  2
公平合理  2
公平竞争  2
公开  2
公正  2
公私分明  2
公道  2
共赢  2
关切  2
关心  2
关怀  2
关怀备至  2
关照  2
关爱  2
关键时刻  2
兴奋  2
兴奋的  2
兴旺  2
兴盛  2
兴腾  2
兴致勃勃  2
兴起  2
兴趣  2
兴隆  2
兴高采烈  2
其乐无穷  2
其乐融融  2
具体  2
具有活力  2
典型  2
典礼  2
典籍  2
典范  2
典雅  2
养眼  2
兼优  2
兼备  2
兼顾  2
冀望  2
内外兼修  2
内敛  2
内行  2
冉冉升起  2
再创  2
再接再厉  2
再涨  2
再添  2
再生  2
再续  2
再获  2
再造  2
冒尖  2
写实  2
写意  2
冠军  2
冲破  2
冲锋  2
冲锋陷阵  2
决定性  2
决定性的  2
决心  2
决赛  2
冷静  2
净利  2
净化  2
准予  2
准时  2
准点  2
准确  2
准确性  2
准确无误  2
准许  2
凉爽  2
减亏  2
减免  2
减少坏账  2
减少库存  2
减少成本  2
减少损失  2
减少损耗  2
减少摩擦  2
减少支出  2
减少负债  2
减少费用  2
减税  2
凝聚力  2
凤毛麟角  2
凯旋  2
凯歌  2
出乎意料  2
出众  2
出众的  2
出名  2
出头  2
出彩  2
出息  2
出类拔萃  2
出线  2
出色  2
出路  2
